W/L%,SRS,Pace,Rel ORtg,Rel DRtg
.402,-3.96,98.6,0.0,4.0
.329,-8.55,98.3,-4.2,4.9
.583,1.81,98.4,5.5,3.7
.473,-0.61,100.7,3.1,4.2
.646,4.43,99.1,4.3,0.1
.598,2.60,96.5,0.5,-2.2
.500,-0.23,96.7,1.5,2.0
.537,0.98,96.0,2.4,1.6
.622,4.41,94.2,2.6,-1.9
.659,4.44,94.9,4.8,0.7
.402,-2.53,91.4,-0.1,3.3
.424,-0.22,91.2,1.1,1.8
.585,1.85,87.9,1.5,-0.2
.610,3.18,87.7,3.2,-0.5
.659,5.00,86.6,5.6,-0.5
.500,-0.52,87.9,-0.2,0.9
.390,-3.78,88.3,-1.4,3.4
.256,-8.91,87.6,-5.1,5.7
.329,-3.45,89.8,-2.9,1.6
.500,-0.58,86.2,0.8,2.2
.610,2.97,89.4,1.9,-1.0
.598,3.21,89.3,2.9,-0.5
.610,4.52,89.1,3.5,-1.2
.720,6.36,89.9,3.8,-3.3
.700,5.67,89.2,2.6,-4.5
.561,0.83,90.0,-1.0,-2.6
.598,3.56,90.9,1.2,-3.4
.537,2.21,92.6,-1.6,-4.1
.537,3.80,93.8,1.4,-2.6
.573,2.60,98.8,1.8,-0.8
.622,2.92,99.1,0.3,-2.8
.695,6.94,99.0,3.2,-4.0
.768,8.47,100.5,4.9,-3.6
.720,6.48,102.3,2.4,-3.7
.476,0.92,103.9,1.6,0.2
.646,3.59,103.6,3.8,-0.6
.598,2.57,105.0,3.2,0.3
.488,0.61,104.5,2.0,1.0
.512,2.80,103.5,2.5,-0.7
.585,3.13,101.1,3.6,0.1
.561,1.88,101.0,1.3,-0.8
.512,0.39,100.5,1.9,1.3
.549,0.52,103.0,1.0,0.2
.463,-0.87,98.6,-1.9,-1.0
.549,1.12,103.4,0.5,-0.7
.707,5.92,104.2,2.2,-3.7
.598,5.39,108.0,3.7,-1.5
.451,-1.11,107.7,-1.9,-0.7
.463,0.27,104.7,0.4,0.0
.329,-4.30,108.5,0.5,4.9
.256,-5.67,110.4,-0.9,4.7
.220,-8.84,112.3,-3.4,5.2
.354,-6.20,120.6,-1.8,1.9
